DiseaseID,DiseaseName,References,SummaryText,Source,SummaryTextNew
GARD:0000001,GRACILE syndrome,[5348],"DiseaseName is an inherited metabolic disease. GRACILE stands for growth retardation, aminoaciduria, cholestasis, iron overload, lactacidosis, and early death. Infants are very small at birth and quickly develop complications. During the first days of life, infants will develop a buildup of lactic acid in the bloodstream (lactic acidosis) and amino acids in the urine (aminoaciduria). They will also have problems with the flow of bile from the liver (cholestasis) and too much iron in their blood. Affected individuals aren't typically born with unique physical features. DiseaseName is caused by a genetic change in the BCS1L gene, and it is inherited in an autosomal recessive pattern. The BCS1L gene provides instructions needed by the mitochondria in cells to help produce energy.",GARD,"GRACILE syndrome is an inherited metabolic disease. GRACILE stands for growth retardation, aminoaciduria, cholestasis, iron overload, lactacidosis, and early death. Infants are very small at birth and quickly develop complications. During the first days of life, infants will develop a buildup of lactic acid in the bloodstream (lactic acidosis) and amino acids in the urine (aminoaciduria). They will also have problems with the flow of bile from the liver (cholestasis) and too much iron in their blood. Affected individuals aren't typically born with unique physical features. GRACILE syndrome is caused by a genetic change in the BCS1L gene, and it is inherited in an autosomal recessive pattern. The BCS1L gene provides instructions needed by the mitochondria in cells to help produce energy."
GARD:0000003,Ablepharon macrostomia syndrome,"[13146,13147,13148,13149]","DiseaseName is genetic disorder characterized by absent eyelids (ablepharon) and very large mouth (macrostomia). Other common signs and symptoms include abnormal external ears, fusion (syndactyly) of the hands and feet, skin findings (such as dry and coarse skin or redundant folds of skin), absent or sparse hair, genital malformations, and developmental delay. Other reported findings include underdeveloped cheeks (malar hypoplasia), absent or very small (hypoplastic) nipples, umbilical abnormalities and growth retardation. It belongs to a group of diseases called ectodermal dysplasias (genetic disorders that involve defects in the skin, hair, nails, sweat glands, and/or teeth). DiseaseName is caused by genetic changes in the TWIST2 gene. Inheritance is autosomal dominant, but most cases are sporadic (when there are no other cases in the family). Genetic changes in TWIST2 gene also cause the Barber Say syndrome and Setleis syndrome, other ectodermal dysplasia syndromes which have very similar features. ",GARD,"Ablepharon macrostomia syndrome is genetic disorder characterized by absent eyelids (ablepharon) and very large mouth (macrostomia). Other common signs and symptoms include abnormal external ears, fusion (syndactyly) of the hands and feet, skin findings (such as dry and coarse skin or redundant folds of skin), absent or sparse hair, genital malformations, and developmental delay. Other reported findings include underdeveloped cheeks (malar hypoplasia), absent or very small (hypoplastic) nipples, umbilical abnormalities and growth retardation. It belongs to a group of diseases called ectodermal dysplasias (genetic disorders that involve defects in the skin, hair, nails, sweat glands, and/or teeth). Ablepharon macrostomia syndrome is caused by genetic changes in the TWIST2 gene. Inheritance is autosomal dominant, but most cases are sporadic (when there are no other cases in the family). Genetic changes in TWIST2 gene also cause the Barber Say syndrome and Setleis syndrome, other ectodermal dysplasia syndromes which have very similar features. "
GARD:0000005,Abetalipoproteinemia,"[15462,15463,15464,15465,15466]","DiseaseName is a very rare condition that affects fat and vitamin absorption by the intestines and liver, leading to very low LDL-cholesterol and malnutrition. Early symptoms of this condition include diarrhea, vomiting, and poor growth. DiseaseName is diagnosed based on clinical exam, laboratory tests showing abnormally low cholesterol, and confirmed by genetic testing. This condition is caused by genetic variants in the MTTP gene and is inherited in an autosomal recessive pattern.",GARD,"Abetalipoproteinemia is a very rare condition that affects fat and vitamin absorption by the intestines and liver, leading to very low LDL-cholesterol and malnutrition. Early symptoms of this condition include diarrhea, vomiting, and poor growth. Abetalipoproteinemia is diagnosed based on clinical exam, laboratory tests showing abnormally low cholesterol, and confirmed by genetic testing. This condition is caused by genetic variants in the MTTP gene and is inherited in an autosomal recessive pattern."
GARD:0000006,Acromesomelic dysplasia,[3685],"DiseaseName describes a group of extremely rare, inherited, progressive skeletal conditions that result in a particular form of short stature, called short-limb dwarfism. The short stature is the result of unusually short forearms and forelegs (mesomelia) and abnormal shortening of the bones in the hands and feet (acromelia). At birth, the hands and feet may appear abnormally short and broad. Over time, the apparent disproportion becomes even more obvious, especially during the first years of life. Additional features may include: limited extension of the elbows and arms; progressive abnormal curvature of the spine; an enlarged head; and a slightly flattened midface. DiseaseName is inherited as an autosomal recessive trait. There are different types of DiseaseName, which are distinguished by their genetic cause.",GARD,"Acromesomelic dysplasia describes a group of extremely rare, inherited, progressive skeletal conditions that result in a particular form of short stature, called short-limb dwarfism. The short stature is the result of unusually short forearms and forelegs (mesomelia) and abnormal shortening of the bones in the hands and feet (acromelia). At birth, the hands and feet may appear abnormally short and broad. Over time, the apparent disproportion becomes even more obvious, especially during the first years of life. Additional features may include: limited extension of the elbows and arms; progressive abnormal curvature of the spine; an enlarged head; and a slightly flattened midface. Acromesomelic dysplasia is inherited as an autosomal recessive trait. There are different types of Acromesomelic dysplasia, which are distinguished by their genetic cause."
GARD:0000007,Acromicric dysplasia,"[15923,15924,15925,15926]","DiseaseName affects the growth and development of the bones. Signs and symptoms include short stature, short hands and feet, and distinctive facial features. Overtime, people with DiseaseName may develop limited joint movement and hip dislocations. DiseaseName does not affect intelligence or learning. DiseaseName is caused by genetic variants in the FBN1 gene or the LTBP3 gene and is inherited in an autosomal dominant pattern. Diagnosis is based on the symptoms, clinical exam, and imaging studies. Diagnosis may be confirmed by the results of genetic testing. ",GARD,"Acromicric dysplasia affects the growth and development of the bones. Signs and symptoms include short stature, short hands and feet, and distinctive facial features. Overtime, people with Acromicric dysplasia may develop limited joint movement and hip dislocations. Acromicric dysplasia does not affect intelligence or learning. Acromicric dysplasia is caused by genetic variants in the FBN1 gene or the LTBP3 gene and is inherited in an autosomal dominant pattern. Diagnosis is based on the symptoms, clinical exam, and imaging studies. Diagnosis may be confirmed by the results of genetic testing. "
GARD:0000008,Agnosia,"[3336,3337]","DiseaseName is characterized by an inability to recognize and identify objects and/or persons. Symptoms may vary, according to the area of the brain that is affected. It can be limited to one sensory modality such as vision or hearing; for example, a person may have difficulty in recognizing an object as a cup or identifying a sound as a cough. DiseaseName can result from strokes, traumatic brain injury, dementia, a tumor, developmental disorders, overexposure to environmental toxins (e.g., carbon monoxide poisoning), or other neurological conditions. Visual DiseaseName may also occur in association with other underlying disorders. People with DiseaseName may retain their cognitive abilities in other areas.",GARD,"Agnosia is characterized by an inability to recognize and identify objects and/or persons. Symptoms may vary, according to the area of the brain that is affected. It can be limited to one sensory modality such as vision or hearing; for example, a person may have difficulty in recognizing an object as a cup or identifying a sound as a cough. Agnosia can result from strokes, traumatic brain injury, dementia, a tumor, developmental disorders, overexposure to environmental toxins (e.g., carbon monoxide poisoning), or other neurological conditions. Visual Agnosia may also occur in association with other underlying disorders. People with Agnosia may retain their cognitive abilities in other areas."
GARD:0000011,Alternating hemiplegia of childhood,"[5630,14658]","DiseaseName (AHC) is a neurological disorder that usually affects children before 18 months of age. Classic AHC causes recurrent episodes of paralysis (hemiplegia) that involve one or both sides of the body, multiple limbs, or a single limb. The paralysis may affect different parts of the body at different times and may be brief or last for several days. A characteristic feature of AHC is that symptoms disappear during sleep and return upon waking. Many affected children display some degree of developmental delay, abnormal eye (oculomotor) movements, uncontrolled limb movements (including ataxia, dystonia, and choreoathetosis) and seizures. The majority of cases of AHC are caused by a new change (called a pathogenic variant) in the ATP1A3 gene that is not inherited. Thus, most patients with AHC do not have a family history of the disorder. A small number of cases of AHC are caused by changes in the ATP1A2 gene. When this condition does run in families, it follows an autosomal dominant pattern of inheritance.  ",GARD,"Alternating hemiplegia of childhood (AHC) is a neurological disorder that usually affects children before 18 months of age. Classic AHC causes recurrent episodes of paralysis (hemiplegia) that involve one or both sides of the body, multiple limbs, or a single limb. The paralysis may affect different parts of the body at different times and may be brief or last for several days. A characteristic feature of AHC is that symptoms disappear during sleep and return upon waking. Many affected children display some degree of developmental delay, abnormal eye (oculomotor) movements, uncontrolled limb movements (including ataxia, dystonia, and choreoathetosis) and seizures. The majority of cases of AHC are caused by a new change (called a pathogenic variant) in the ATP1A3 gene that is not inherited. Thus, most patients with AHC do not have a family history of the disorder. A small number of cases of AHC are caused by changes in the ATP1A2 gene. When this condition does run in families, it follows an autosomal dominant pattern of inheritance.  "
GARD:0000016,Oculomotor apraxia Cogan type,"[3340,13259,13260,13261]","DiseaseName (COMA) is an eye condition characterized by a defect in side-to-side (horizontal) eye movements. Because of this, most patients with COMA have to turn their head in order to follow objects in side gaze. Typically, up-to-down (vertical) eye movements are unaffected. COMA can also be associated with mild developmental delay and speech difficulties. Individuals with COMA may also have kidney disorders and underdevelopment of the part of cerebellum that separates the left and right hemisphere of the brain (cerebellar vermis). When other symptoms occur, COMA may be a symptom of other disorders, such as nephronophthisis or Joubert syndrome. In many instances, the cause of COMA is not known. Cases support an autosomal recessive inheritance pattern.",GARD,"Oculomotor apraxia Cogan type (COMA) is an eye condition characterized by a defect in side-to-side (horizontal) eye movements. Because of this, most patients with COMA have to turn their head in order to follow objects in side gaze. Typically, up-to-down (vertical) eye movements are unaffected. COMA can also be associated with mild developmental delay and speech difficulties. Individuals with COMA may also have kidney disorders and underdevelopment of the part of cerebellum that separates the left and right hemisphere of the brain (cerebellar vermis). When other symptoms occur, COMA may be a symptom of other disorders, such as nephronophthisis or Joubert syndrome. In many instances, the cause of COMA is not known. Cases support an autosomal recessive inheritance pattern."
GARD:0000017,Arachnoid cysts,"[2028,6105,14160,14161]","DiseaseName are sacs filled with cerebrospinal fluid (CSF) that are located between the brain or spinal cord and the arachnoid membrane, one of the three membranes that cover the brain and spinal cord. DiseaseName can be primary or secondary. Primary DiseaseName are congenital (present at birth), resulting from abnormal development of the brain and spinal cord during early pregnancy. Secondary DiseaseName are less common, and result from head injuries, meningitis, tumors, or as a complication of brain surgery. Signs and symptoms depend on the location and size of the cyst and may include headache, nausea and vomiting, seizures, hearing and visual disturbances, vertigo, and difficulties with balance and walking. Although many affected individuals develop symptoms in the first year of life, some never develop symptoms. In some cases, DiseaseName are part of a genetic syndrome such as Chudley-McCullough syndrome, mucopolysaccharidosis, or Marfan syndrome, where there are many other associated signs and symptoms.",GARD,"Arachnoid cysts are sacs filled with cerebrospinal fluid (CSF) that are located between the brain or spinal cord and the arachnoid membrane, one of the three membranes that cover the brain and spinal cord. Arachnoid cysts can be primary or secondary. Primary Arachnoid cysts are congenital (present at birth), resulting from abnormal development of the brain and spinal cord during early pregnancy. Secondary Arachnoid cysts are less common, and result from head injuries, meningitis, tumors, or as a complication of brain surgery. Signs and symptoms depend on the location and size of the cyst and may include headache, nausea and vomiting, seizures, hearing and visual disturbances, vertigo, and difficulties with balance and walking. Although many affected individuals develop symptoms in the first year of life, some never develop symptoms. In some cases, Arachnoid cysts are part of a genetic syndrome such as Chudley-McCullough syndrome, mucopolysaccharidosis, or Marfan syndrome, where there are many other associated signs and symptoms."
GARD:0000019,Dihydropyrimidine dehydrogenase deficiency,"[5400,15242,15244]","Dihydropyrimidine dehydrogenase (DPD) deficiency is a condition in which the body cannot break down the nucleotides, thymine and uracil. The severity of DPD deficiency can vary.  Most people have no obvious signs or symptoms, but some develop serious neurological problems as infants. In infants with severe DPD deficiency, the signs and symptoms may include seizures, intellectual disability, microcephaly, increased muscle tone (hypertonia), delayed motor skills, and autistic behavior. It is not clear why some individuals with DPD deficiency have symptoms and others don't. DPD deficiency is caused by genetic changes in the DPYD gene and is inherited in an autosomal recessive manner. Babies with the severe form of DPD deficiency may be diagnosed based on the symptoms and additional laboratory testing. Individuals with the DPD deficiency, regardless of the presence or severity of symptoms, are at risk for severe, toxic reactions to drugs called fluoropyrimidines which are used to treat cancer. Individuals with no symptoms may be diagnosed only by laboratory testing or after exposure to fluoropyrimidines. ",GARD,"Dihydropyrimidine dehydrogenase (DPD) deficiency is a condition in which the body cannot break down the nucleotides, thymine and uracil. The severity of DPD deficiency can vary.  Most people have no obvious signs or symptoms, but some develop serious neurological problems as infants. In infants with severe DPD deficiency, the signs and symptoms may include seizures, intellectual disability, microcephaly, increased muscle tone (hypertonia), delayed motor skills, and autistic behavior. It is not clear why some individuals with DPD deficiency have symptoms and others don't. DPD deficiency is caused by genetic changes in the DPYD gene and is inherited in an autosomal recessive manner. Babies with the severe form of DPD deficiency may be diagnosed based on the symptoms and additional laboratory testing. Individuals with the DPD deficiency, regardless of the presence or severity of symptoms, are at risk for severe, toxic reactions to drugs called fluoropyrimidines which are used to treat cancer. Individuals with no symptoms may be diagnosed only by laboratory testing or after exposure to fluoropyrimidines. "
