GardID,ClassificationLevel,DisorderType,Name,Synonym
GARD:0000001,Disorder,[Disease],GRACILE syndrome,"[Fellman disease, Growth restriction-aminoaciduria-cholestasis-iron overload-lactic acidosis-early death syndrome]"
GARD:0000003,Disorder,[Malformation syndrome],Ablepharon macrostomia syndrome,
GARD:0000005,Disorder,[Disease],Abetalipoproteinemia,"[Bassen-Kornzweig disease, Homozygous familial hypobetalipoproteinemia]"
GARD:0000006,Group of disorders,[Clinical group],Acromesomelic dysplasia,
GARD:0000007,Disorder,[Malformation syndrome],Acromicric dysplasia,
GARD:0000011,Disorder,[Disease],Alternating hemiplegia of childhood,[AHC]
GARD:0000012,Group of disorders,[Clinical group],Hypersensitivity pneumonitis,[Extrinsic allergic alveolitis]
GARD:0000013,Disorder,[Malformation syndrome],Aniridia-cerebellar ataxia-intellectual disability syndrome,[Gillespie syndrome]
GARD:0000016,Disorder,[Disease],"Ocular motor apraxia, Cogan type","[Oculomotor apraxia, Cogan type]"
GARD:0000017,Disorder,[Morphological anomaly],Arachnoid cyst,
GARD:0000019,Disorder,[Disease],Dihydropyrimidine dehydrogenase deficiency,[Familial pyrimidinemia]
GARD:0000022,Disorder,[Disease],Björnstad syndrome,"[Deafness-pili torti-hypogonadism syndrome, Hearing loss-pili torti-hypogonadism syndrome]"
GARD:0000023,Disorder,[Malformation syndrome],Blepharophimosis-ptosis-epicanthus inversus syndrome,[BPES]
GARD:0000026,Disorder,[Malformation syndrome],Cat-eye syndrome,[CES]
GARD:0000027,Disorder,[Disease],Cat-scratch disease,[Bartonellosis due to Bartonella henselae infection]
GARD:0000028,Disorder,[Malformation syndrome],Catel-Manzke syndrome,"[Hyperphalangy-clinodactyly of index finger with Pierre Robin syndrome, Index finger anomaly-Pierre Robin syndrome, Micrognathia digital syndrome, Palatodigital syndrome, Catel-Manzke type, Pierre Robin sequence-hyperphalangy-clinodactyly syndrome, Pierre Robin syndrome-hyperphalangy-clinodactyly syndrome]"
GARD:0000029,Disorder,[Malformation syndrome],CHARGE syndrome,"[CHARGE association, Coloboma-heart defects-atresia choanae-retardation of growth and development-genitourinary problems-ear abnormalities syndrome, Hall-Hittner syndrome]"
GARD:0000031,Disorder,[Disease],Serpiginous choroiditis,[Geographic helicoid peripapillary choroidopathy]
GARD:0000035,Disorder,[Malformation syndrome],Tetrasomy 18p,[Isochromosome 18p]
GARD:0000037,Group of disorders,[Category],Partial deletion of the short arm of chromosome 3,"[Partial deletion of chromosome 3p, Partial monosomy of chromosome 3p, Partial monosomy of the short arm of chromosome 3]"
GARD:0000039,Disorder,[Disease],WT limb-blood syndrome,
GARD:0000042,Disorder,[Malformation syndrome],Tetrasomy 9p,[Isochromosome 9p]
GARD:0000043,Disorder,[Malformation syndrome],Mosaic trisomy 9,"[Mosaic trisomy chromosome 9, Trisomy 9 mosaicism]"
GARD:0000044,Disorder,[Disease],Haim-Munk syndrome,"[Keratosis palmoplantaris-periodontopathia-onychogryposis syndrome, Palmoplantar hyperkeratosis-periodontopathia-onychogryposis syndrome, Palmoplantar keratoderma-periodontopathia-onychogryposis syndrome]"
GARD:0000045,Disorder,[Disease],Congenital varicella syndrome,"[Antenatal varicella virus infection, Mother-to-child transmission of varicella syndrome]"
GARD:0000047,Subtype of disorder,[Clinical subtype],Crigler-Najjar syndrome type 1,"[Bilirubin uridinediphosphate glucuronosyltransferase deficiency type 1, Bilirubin-UGT deficiency type 1]"
GARD:0000048,Disorder,[Disease],Isolated cytochrome C oxidase deficiency,"[Isolated COX deficiency, Isolated mitochondrial respiratory chain complex IV deficiency]"
GARD:0000049,Disorder,[Disease],De Barsy syndrome,"[Cutis laxa-corneal clouding-intellectual disability syndrome, Progeroid syndrome, De Barsy type]"
GARD:0000054,Disorder,[Morphological anomaly],Duodenal atresia,
GARD:0000059,Disorder,[Disease],Spinocerebellar ataxia type 34,"[Erythrokeratodermia with ataxia, SCA34, Spinocerebellar ataxia and erythrokeratodermia]"
GARD:0000060,Disorder,[Disease],Iridocorneal endothelial syndrome,[ICE syndrome]
GARD:0000061,Disorder,[Malformation syndrome],Femoral-facial syndrome,"[FFS, FHUFS, Femoral hypoplasia-unusual facies syndrome]"
GARD:0000062,Disorder,[Malformation syndrome],Filippi syndrome,[Type 1 syndactyly-microcephaly-intellectual disability syndrome]
GARD:0000064,Disorder,[Malformation syndrome],Fountain syndrome,"[Deafness-skeletal dysplasia-coarse face with full lips syndrome, Deafness-skeletal dysplasia-lip granuloma syndrome, Hearing loss-skeletal dysplasia-coarse face with full lips syndrome, Hearing loss-skeletal dysplasia-lip granuloma syndrome]"
GARD:0000065,Disorder,[Malformation syndrome],Galloway-Mowat syndrome,"[Galloway syndrome, Microcephaly-hiatus hernia-nephrotic syndrome, Nephrosis-neuronal dysmigration syndrome]"
GARD:0000066,Disorder,[Malformation syndrome],Gorlin-Chaudhry-Moss syndrome,"[Craniofacial dysostosis-genital, dental, cardiac anomalies syndrome, Cranofacial dysostosis-hypertrichosis-hypoplasia of labia majora syndrome, Dental and eye anomalies-patent ductus arteriosus-normal intelligence syndrome, GCM syndrome]"
GARD:0000068,Disorder,[Malformation syndrome],Hypoglossia-hypodactyly syndrome,"[Aglossia-adactylia syndrome, Hanhart syndrome, Jussieu syndrome]"
GARD:0000069,Disorder,[Disease],Hantavirus pulmonary syndrome,
GARD:0000070,Disorder,[Disease],Kasabach-Merritt syndrome,[Hemangioma-thrombocytopenia syndrome]
GARD:0000073,Subtype of disorder,[Clinical subtype],X-linked hyper-IgM syndrome,"[HIGM1, Hyper-IgM syndrome due to CD40 ligand deficiency, Hyper-IgM syndrome due to CD40L deficiency, Hyper-IgM syndrome type 1, XHIGM]"
GARD:0000076,Disorder,[Disease],Hypohidrotic ectodermal dysplasia,"[Anhidrotic ectodermal dysplasia, HED]"
GARD:0000079,Disorder,[Disease],"Metaphyseal chondrodysplasia, Jansen type",
GARD:0000080,Disorder,[Malformation syndrome],Johanson-Blizzard syndrome,[JBS]
GARD:0000081,Subtype of disorder,[Disease subtype],"Intellectual developmental disorder, x-linked, syndromic, turner type","[mental retardation and macrocephaly syndrome, mental retardation, x-linked, with growth retardation, deafness, and microgenitalism, juberg-marsidi syndrome, mental retardation, x-linked, syndromic, brooks-wisniewski-brown type, Mental retardation, x-linked, syndromic, turner type, brooks-wisniewski-brown syndrome]"
GARD:0000082,Disorder,[Malformation syndrome],KBG syndrome,[Short stature-facial and skeletal anomalies-intellectual disability-macrodontia syndrome]
GARD:0000083,Subtype of disorder,[Etiological subtype],Autosomal dominant Kenny-Caffey syndrome,
GARD:0000084,Subtype of disorder,[Disease subtype],"Lipodystrophy, congenital generalized, type 1","[lipodystrophy, berardinelli-seip congenital, type 1, Berardinelli-seip congenital lipodystrophy, type 1, brunzell syndrome, agpat2-related]"
GARD:0000085,Disorder,[Disease],Thanatophoric dysplasia,[TD]
GARD:0000086,Disorder,[Malformation syndrome],Chudley-McCullough syndrome,
GARD:0000087,Disorder,[Malformation syndrome],"Microphthalmia, Lenz type",[Lenz microphthalmia]
GARD:0000088,Disorder,[Malformation syndrome],Leri pleonosteosis,
