,Gene,Disease
0,1.14.14.17,
1,erg1,
2,sqle,
3,squalene epoxidase,
4,squalene monooxygenase,
5,3.4.21.4,
6,alpha-trypsin chain 1,
7,alpha-trypsin chain 2,
8,anionic trypsin i,
9,anionic trypsin-i,
10,beta-trypsin,
11,cationic trypsinogen,
12,pretrypsinogen i,
13,prss1,ORPHA:676
14,serine protease 1,
15,synonyms=trp1,
16,trp1,
17,try1,
18,tryp1,
19,trypsin-1,
20,trypsin i,
21,errb2,
22,err-beta,
23,err beta-2,
24,esrl2,
25,esrrb,ORPHA:90636
26,estrogen receptor-like 2,
27,estrogen-related receptor beta,
28,nr3b2,
29,nuclear receptor subfamily 3 group b member 2,
30,steroid hormone receptor err2,
31,2.3.2.23,
32,2.3.2.24,
33,e2 ubiquitin-conjugating enzyme d2,
34,(e3-independent) e2 ubiquitin-conjugating enzyme d2,
35,p53-regulated ubiquitin-conjugating enzyme 1,
36,pubc1,
37,ubc4,
38,ubc5b,
39,ubch4,
40,ubch5b,
41,ube2d2,
42,ubiquitin carrier protein d2,
43,ubiquitin-conjugating enzyme e2(17)kb 2,
44,ubiquitin-conjugating enzyme e2-17 kda 2,
45,ubiquitin-conjugating enzyme e2 d2,
46,ubiquitin-protein ligase d2,
47,casein kinase ii subunit beta,
48,ck2n,
49,ck ii beta,
50,csnk2b,ORPHA:178469
51,g5a,
52,phosvitin,
53,protein g5a,
54,2.7.11.1,
55,casein kinase ii subunit alpha,
56,ck2a1,
57,ck ii alpha,
58,csnk2a1,ORPHA:528084
59,2.7.11.1,
60,casein kinase ii subunit alpha',
61,ck2a2,
62,ck ii alpha',
63,csnk2a2,
64,mitochondrial sodium/calcium exchanger protein,
65,na(+)/k(+)/ca(2+)-exchange protein 6,
66,nclx,
67,nclx gn  ,
68,slc24a6,
69,slc8b1,
70,"sodium/calcium exchanger protein, mitochondrial",
71,sodium/potassium/calcium exchanger 6,
72,solute carrier family 24 member 6,
73,solute carrier family 8 member b1,
74,synonyms=nckx6,
75,gaba(a) receptor subunit beta-2,
76,gabrb2,ORPHA:442835
77,gamma-aminobutyric acid receptor subunit beta-2,
78,gaba(a) receptor subunit gamma-2,
79,gabrg2,ORPHA:33069
80,gamma-aminobutyric acid receptor subunit gamma-2,
81,gaba(a) receptor subunit alpha-5,
82,gabra5,ORPHA:442835
83,gamma-aminobutyric acid receptor subunit alpha-5,
84,ccr4-associated factor 3,
85,ccr4-not transcription complex subunit 3,
86,cnot3,ORPHA:528084
87,kiaa0691,
88,leng2,
89,leukocyte receptor cluster member 2,
90,not3,
91,synonyms=kiaa0691,
92,2.4.2.31,
93,adp-ribosyltransferase c2 and c3 toxin-like 1,
94,art1,
95,artc1,
96,cd_antigen=cd296,
97,gpi-linked nad(p)(+)--arginine adp-ribosyltransferase 1,
98,mono(adp-ribosyl)transferase 1,
99,galanin receptor 4,
100,galanin-receptor-like protein,
101,galr4,
102,galrl,
103,galrl,
104,gpcr-2037,
105,gpr151,
106,g-protein coupled receptor 151,
107,g-protein coupled receptor pgr7,
108,pgr7,
109,synonyms=galr4,
110,kifc3,
111,kinesin-like protein kifc3,
112,26 kda cell surface protein tapa-1,
113,cd81,ORPHA:1572
114,cd81 antigen,
115,cd_antigen=cd81,
116,synonyms=tapa1,
117,tapa1,
118,target of the antiproliferative antibody 1,
119,tetraspanin-28,
120,tspan-28,
121,tspan28,
122,2.7.11.1,
123,akt2,ORPHA:79085
124,pkb beta,
125,protein kinase akt-2,
126,protein kinase b beta,
127,rac-beta serine/threonine-protein kinase,
128,rac-pk-beta,
129,2.7.11.1,
130,akt3,ORPHA:99802
131,pkbg,
132,pkb gamma,
133,protein kinase akt-3,
134,protein kinase b gamma,
135,rac-gamma serine/threonine-protein kinase,
136,rac-pk-gamma,
137,stk-2,
138,2.7.11.1,
139,akt1,ORPHA:2495
140,pkb,
141,pkb,
142,pkb alpha,
143,protein kinase b,
144,protein kinase b alpha,
145,proto-oncogene c-akt,
146,rac,
147,rac-alpha serine/threonine-protein kinase,
148,rac-pk-alpha,
149,adhr,
150,antidiuretic hormone receptor,
151,avpr2,ORPHA:93606
152,avpr v2,
153,dir,
154,dir3,
155,renal-type arginine vasopressin receptor,
156,v2r,
157,v2r,
158,vasopressin v2 receptor,
159,antidiuretic hormone receptor 1a,
160,avpr1,
161,avpr1a,
162,avpr v1a,
163,v1ar,
164,vascular/hepatic-type arginine vasopressin receptor,
165,vasopressin v1a receptor,
166,antidiuretic hormone receptor 1b,
167,avpr1b,
168,avpr3,
169,avpr v1b,
170,avpr v3,
171,v1br,
172,vasopressin v1b receptor,
173,vasopressin v3 receptor,
174,vpr3,
175,5-oxo-ete g-protein coupled receptor,
176,gpr170,
177,g-protein coupled receptor 170,
178,g-protein coupled receptor r527,
179,g-protein coupled receptor tg1019,
180,oxer1,
181,oxoeicosanoid receptor 1,
182,tg1019,
183,3.6.4.13,
184,atp-dependent rna helicase eif4a-2,
185,ddx2b,
186,eif4a2,ORPHA:528084
187,eif-4a-ii,
188,eif4a-ii,
189,eif4f,
190,eukaryotic initiation factor 4a-ii,
191,alb,ORPHA:86816
192,albumin,
193,unq696/pro1341,
194,chromokinesin-a,
195,chromosome-associated kinesin kif4a,
196,kif4,
197,kif4a,OMIM:313490
198,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase,
199,4.1.1.45,
200,acmsd,
201,picolinate carboxylase,
202,3.4.19.12,
203,duba8,
204,duba-8,
205,hin7,
206,hin-7,
207,hiv-1-induced protease 7,
208,hshin7,
209,otud2 ,
210,otu domain-containing protein 2,
211,ubiquitin thioesterase otu1,
212,yod1,
213,2.7.10.1,
214,eck,
215,epha2,ORPHA:98993
