GardId,GardName,Synonyms
"""GARD:0000001""",gracile syndrome,"['fellman disease', 'growth restriction-aminoaciduria-cholestasis-iron overload-lactic acidosis-early death syndrome']"
"""GARD:0000003""",ablepharon macrostomia syndrome,[]
"""GARD:0000005""",abetalipoproteinemia,"['bassen-kornzweig disease', 'homozygous familial hypobetalipoproteinemia']"
"""GARD:0000006""",acromesomelic dysplasia,[]
"""GARD:0000007""",acromicric dysplasia,[]
"""GARD:0000011""",alternating hemiplegia of childhood,['ahc']
"""GARD:0000012""",hypersensitivity pneumonitis,['extrinsic allergic alveolitis']
"""GARD:0000013""",aniridia-cerebellar ataxia-intellectual disability syndrome,['gillespie syndrome']
"""GARD:0000016""","ocular motor apraxia, cogan type",['oculomotor apraxia; cogan type']
"""GARD:0000017""",arachnoid cyst,[]
"""GARD:0000019""",dihydropyrimidine dehydrogenase deficiency,['familial pyrimidinemia']
"""GARD:0000022""",björnstad syndrome,"['deafness-pili torti-hypogonadism syndrome', 'hearing loss-pili torti-hypogonadism syndrome']"
"""GARD:0000023""",blepharophimosis-ptosis-epicanthus inversus syndrome,['bpes']
"""GARD:0000026""",cat-eye syndrome,['ces']
"""GARD:0000027""",cat-scratch disease,['bartonellosis due to bartonella henselae infection']
"""GARD:0000028""",catel-manzke syndrome,"['hyperphalangy-clinodactyly of index finger with pierre robin syndrome', 'index finger anomaly-pierre robin syndrome', 'micrognathia digital syndrome', 'palatodigital syndrome; catel-manzke type', 'pierre robin sequence-hyperphalangy-clinodactyly syndrome', 'pierre robin syndrome-hyperphalangy-clinodactyly syndrome']"
"""GARD:0000029""",charge syndrome,"['charge association', 'coloboma-heart defects-atresia choanae-retardation of growth and development-genitourinary problems-ear abnormalities syndrome', 'hall-hittner syndrome']"
"""GARD:0000031""",serpiginous choroiditis,['geographic helicoid peripapillary choroidopathy']
"""GARD:0000035""",tetrasomy 18p,['isochromosome 18p']
"""GARD:0000037""",partial deletion of the short arm of chromosome 3,"['partial deletion of chromosome 3p', 'partial monosomy of chromosome 3p', 'partial monosomy of the short arm of chromosome 3']"
"""GARD:0000039""",wt limb-blood syndrome,[]
"""GARD:0000042""",tetrasomy 9p,['isochromosome 9p']
"""GARD:0000043""",mosaic trisomy 9,"['mosaic trisomy chromosome 9', 'trisomy 9 mosaicism']"
"""GARD:0000044""",haim-munk syndrome,"['keratosis palmoplantaris-periodontopathia-onychogryposis syndrome', 'palmoplantar hyperkeratosis-periodontopathia-onychogryposis syndrome', 'palmoplantar keratoderma-periodontopathia-onychogryposis syndrome']"
"""GARD:0000045""",congenital varicella syndrome,"['antenatal varicella virus infection', 'mother-to-child transmission of varicella syndrome']"
"""GARD:0000047""",crigler-najjar syndrome type 1,"['bilirubin uridinediphosphate glucuronosyltransferase deficiency type 1', 'bilirubin-ugt deficiency type 1']"
"""GARD:0000048""",isolated cytochrome c oxidase deficiency,"['isolated cox deficiency', 'isolated mitochondrial respiratory chain complex iv deficiency']"
"""GARD:0000049""",de barsy syndrome,"['cutis laxa-corneal clouding-intellectual disability syndrome', 'progeroid syndrome; de barsy type']"
"""GARD:0000054""",duodenal atresia,[]
"""GARD:0000059""",spinocerebellar ataxia type 34,"['erythrokeratodermia with ataxia', 'sca34', 'spinocerebellar ataxia and erythrokeratodermia']"
"""GARD:0000060""",iridocorneal endothelial syndrome,['ice syndrome']
"""GARD:0000061""",femoral-facial syndrome,"['ffs', 'fhufs', 'femoral hypoplasia-unusual facies syndrome']"
"""GARD:0000062""",filippi syndrome,['type 1 syndactyly-microcephaly-intellectual disability syndrome']
"""GARD:0000064""",fountain syndrome,"['deafness-skeletal dysplasia-coarse face with full lips syndrome', 'deafness-skeletal dysplasia-lip granuloma syndrome', 'hearing loss-skeletal dysplasia-coarse face with full lips syndrome', 'hearing loss-skeletal dysplasia-lip granuloma syndrome']"
"""GARD:0000065""",galloway-mowat syndrome,"['galloway syndrome', 'microcephaly-hiatus hernia-nephrotic syndrome', 'nephrosis-neuronal dysmigration syndrome']"
"""GARD:0000066""",gorlin-chaudhry-moss syndrome,"['craniofacial dysostosis-genital; dental; cardiac anomalies syndrome', 'cranofacial dysostosis-hypertrichosis-hypoplasia of labia majora syndrome', 'dental and eye anomalies-patent ductus arteriosus-normal intelligence syndrome', 'gcm syndrome']"
"""GARD:0000068""",hypoglossia-hypodactyly syndrome,"['aglossia-adactylia syndrome', 'hanhart syndrome', 'jussieu syndrome']"
"""GARD:0000069""",hantavirus pulmonary syndrome,[]
"""GARD:0000070""",kasabach-merritt syndrome,['hemangioma-thrombocytopenia syndrome']
