,Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key,GardName,GardId,Orphan
0,"Glycine, L-prolyl-L-prolyl-L-leucyl-L-seryl-L-glutaminyl-L-(i-circumflex plus/minus)-glutamyl-L-threonyl-L-phenylalanyl-L-seryl-L-(i-circumflex plus/minus)-aspartyl-L-leucyl-L-tryptophyl-L-lysyl-L-leucyl-L-leucyl-L-lysyl-L-lysyl-L-tryptophyl-L-lysyl-L-methionyl-L-arginyl-L-arginyl-L-asparaginyl-L-glutaminyl-L-phenylalanyl-L-tryptophyl-L-valyl-L-lysyl-L-valyl-L-glutaminyl-L-arginyl-",,3/21/2023,treatment of multiple myeloma,Designated,,Not FDA Approved for Orphan Indication,,,,,"Oncolyze, Inc.",845 UN Plaza,61b,New York City,New York,' 10017 ' ,United States,930422,multiple myeloma,"""gard:0007108""",
1,"N-[3-fluoro-4-[[1-methyl-6-(1H-pyrazol-4-yl)-1H-indazol-5-yl]oxy]phenyl]-1-(4-fluorophenyl)-1,2-dihydro-6-(1-methylethoxy)-2-oxo-3-pyridinecarboxamide",,5/16/2023,treatment of acute myeloid leukemia,Designated,,Not FDA Approved for Orphan Indication,,,,,Tyligand Bioscience (Shanghai) Limited,"No.3728 Jinke Road, Zhangjiang Hi-Tech Park","West wing, building 1",Shanghai,Shanghai,' 201203 ' ,China,937623,acute myeloid leukemia,"""gard:0012757""",
2,"(2S,3S,4E,6S,7R,10R)-7,10-Dihydroxy-3,7-dimethyl-12-oxo-2-[(2E,4E,6R)-6-(pyridin-2-yl)hepta-2,4-dien-2-yl]oxacyclododec-4-en-6-yl 4-methylpiperazine-1-carboxylate",,6/22/2017,treatment of chronic myelomonocytic leukemia (cmml),Designated,,Not FDA Approved for Orphan Indication,,,,,Pharmavant 7 Sciences GmBH,Viaduktstr. 8,,Basel,,' 4051 ' ,Switzerland,581717,chronic myelomonocytic leukemia,"""gard:0008225""",
3,(S)-2-hydroxy-6-((4-(2-(2-hydroxyethyl)nicotinoyl)morpholin- 3-yl)methoxy)benzaldehyde,,5/16/2022,treatment of sickle cell disease,Designated,,Not FDA Approved for Orphan Indication,,,,,"Global Blood Therapeutics, Inc.",181 Oyster Point Blvd,,South San Francisco,California,' 94080 ' ,United States,877122,,,
4,1-(2-Nitro-imidazolyl)-3-[18F]fluoro-2-propanol;1H-1-(3-[18F]fluoro-2-hydroxypropyl)-2-nitroimidazole,,1/6/2016,"as a diagnostic for clinical management of soft tissue sarcoma, including rhabdomyosarcoma.",Designated,,Not FDA Approved for Orphan Indication,,,,,"Advanced Imaging Projects, LLC",7947 Brookside Ct.,,Lake Worth,Florida,' 33467 ' ,United States,509715,rhabdomyosarcoma,"""gard:0011951""",
5,"2-(2-{[2-(1H-benzimidazol-2-yl)ethyl]amino}ethyl)-N-[(3-fluoropyridin-2-yl)methyl]-1,3-oxazole-4-carboxamide trihydrochloride",,6/17/2019,treatment of beta-thalassemia,Designated,,Not FDA Approved for Orphan Indication,,,,,"Vifor Pharma, Inc.",200 Cardinal Way,,Redwood City,California,' 94063 ' ,United States,688419,beta-thalassemia,"""gard:0000871""",
6,2-{[2-benzyl-4-(5-methyl-3H-imidazol-4-ylmethyl)-3-oxo-piperazine-1-carbonyl]- amino}-4methyl-pentanoic acid,,3/7/2023,treatment of t-cell lymphoma,Designated,,Not FDA Approved for Orphan Indication,,,,,"Prescient Therapeutics, LTD",Level 4,100 Albert Road,South Melbourne,VIC,' 03205 ' ,Australia,927422,lymphoma,"""gard:0020548""",
7,3-(5-cyano-4-(cyclopropylamino)pyridin-2-yl)-1-(6-formyl-5-((4-methyl-2-oxopiperazin-1-yl)methyl)pyridin-2-yl)-1-methylurea,,3/27/2023,treatment of soft tissue sarcoma,Designated,,Not FDA Approved for Orphan Indication,,,,,"Wuxi Abbisko Biomedical Technology Co., Ltd.","Building E, Xingye Building, 97-1",Linghu Avenue,Wuxi,Jiangsu,' 214000 ' ,China,932323,soft tissue sarcoma,"""gard:0004898""",
8,"3-tert-butyl-N-{(1R)-1-[4-(6-{6-[4-({1-[4-(2,4-dioxo-1,3-diazinan-1-yl)phenyl]piperidin-4-yl}methyl)piperazin-1-yl]pyridin-3-yl}-7H-pyrrolo[2,3-d]pyrimidin-4-yl)-2-methylphenyl]ethyl}-1,2,4-oxadiazole-5-carboxamide",,12/5/2023,treatment of mantle cell lymphoma,Designated,,Not FDA Approved for Orphan Indication,,,,,BeiGene USA Inc,"1840 Gateway Drive, 3rd Floor",,San Mateo,California,' 94404 ' ,United States,973323,lymphoma,"""gard:0020548""",
9,"a non-replicating, recombinant adeno-associated virus serotype 9 (AAV9) containing the human Methyl CpG Binding Protein 2B (MECP2B) cDNA under the control of a segment of the murine MECP2 promoter.",,4/17/2019,treatment of rett syndrome (rtt),Designated/Designation Withdrawn or Revoked,1/31/2022,Not FDA Approved for Orphan Indication,,,,,"Novartis Institute for BioMedical Research, Inc.",181 Massachusetts Avenue,,Cambridge,Massachusetts,' 02139 ' ,United States,681219,rett syndrome,"""gard:0005696""",
10,A potent negative allosteric modulator (NAM) of human alpha5-GABAA receptor,,1/31/2024,treatment of trigeminal neuralgia,Designated,,Not FDA Approved for Orphan Indication,,,,,"Shanghai SIMR Biotechnology Co., Ltd.","Building 26, 100 Banxia Road",Pudong New District,Shanghai,Shanghai,' 201318 ' ,China,951123,trigeminal neuralgia,"""gard:0007805""",
11,A recombinant plasmid-derived DNA-based vaccine targeting the E6 and E7 antigens of both HPV6 and HPV11,,7/28/2020,treatment of recurrent respiratory papillomatosis,Designated,,Not FDA Approved for Orphan Indication,,,,,"Inovio Pharmaceuticals, Inc.",660 West Germantown Pike,Suite 110,Plymouth Meeting,Pennsylvania,' 19462 ' ,United States,751220,recurrent respiratory papillomatosis,"""gard:0000111""",
12,Ac-Cys-Arg-Gly-Asp-Lys-Gly-Pro-Asp-Cys-NH2 (Cys:Cys disulfide linkage),,8/3/2023,treatment of malignant glioma,Designated,,Not FDA Approved for Orphan Indication,,,,,"Lisata Therapeutics, Inc",110 Allen Road,Second Floor,Basking Ridge,New Jersey,' 07920 ' ,United States,952423,,,
13,Adeno-associated Virus Vector Expressing Human SERCA2a Gene,,12/6/2023,treatment of duchenne muscular dystrophy,Designated,,Not FDA Approved for Orphan Indication,,,,,Sardocor Corp.,"6 Tide Street, 2nd Floor",,Boston,Massachusetts,' 02210 ' ,United States,973523,muscular dystrophy,"""gard:0007922""",
14,allogeneic CRISPR/Cas9-mediated genetically modified CAR T cells targeting CD19 antigen,,2/16/2021,treatment of acute lymphoblastic leukemia,Designated/Designation Withdrawn or Revoked,2/20/2024,Not FDA Approved for Orphan Indication,,,,,"CRISPR Therapeutics, Inc.",610 Main Street,,Cambridge,Massachusetts,' 02139 ' ,United States,799420,acute lymphoblastic leukemia,"""gard:0000522""",
15,Aminouridyl phenoxypiperidinbenzyl butamide,,10/12/2021,treatment of pancreatic cancer,Designated,,Not FDA Approved for Orphan Indication,,,,,Anviron Corporation,4 Trouville,,Newport Coast,California,' 92657 ' ,United States,840521,,,
16,antibody drug conjugate comprised of an anti-B cell maturation (BCMA) IgG1 humanized antibody conjugated covalently to the dibenzocyclooctyne (DBCO) noncleavable linker maytansinoid warhead,,2/23/2021,treatment of multiple myeloma,Designated,,Not FDA Approved for Orphan Indication,,,,,Celgene Corporation,86 Morris Avenue,,Summit,New Jersey,' 07901 ' ,United States,802520,multiple myeloma,"""gard:0007108""",
17,apadamtase alfa,,9/28/2020,treatment of sickle cell disease,Designated,,Not FDA Approved for Orphan Indication,,,,,Baxalta US Inc.,300 Shire Way,,Lexington,Massachusetts,' 02421 ' ,United States,768720,,,
18,ascorbic acid,,5/11/2009,treatment of charcot-marie-tooth disease type 1a.,Designated,,Not FDA Approved for Orphan Indication,,,,,Murigenetics SAS,Faculte de Medecine Timone,,13005 Marseille,,' ' ,France,280909,charcot-marie-tooth disease type 1,"""gard:0012433""",
19,autologous T-cells ex vivo modified with a lentiviral vector encoding a chimeric antigen receptor specific for CD1a,,9/5/2023,treatment of acute lymphoblastic leukemia/lymphoblastic lymphoma,Designated,,Not FDA Approved for Orphan Indication,,,,,OneChain Immunotherapeutics S.L.,"Muntaner, 383, 3º-2ª",,Barcelona,,' 08021 ' ,Spain,958223,lymphoma,"""gard:0020548""",
20,Bcl-2 Family Protein Inhibitor,,12/19/2007,treatment of small cell lung cancer,Designated,,Not FDA Approved for Orphan Indication,,,,,AbbVie Inc.,1 North Waukegan Road,"Dept #PA72, Bldg. AP30-4",North Chicago,Illinois,' 60064 ' ,United States,251307,small cell lung cancer,"""gard:0009344""",
21,birtamimab,,2/17/2012,treatment of aa amyloidosis and al amyloidosis,Designated,,Not FDA Approved for Orphan Indication,,,,,Prothena Therapeutics Limited,Treasury Building,Lower Grand Canal Street,Dublin,2,' ' ,Ireland,361411,amyloidosis,"""gard:0018676""",
22,bosentan,Tracleer,10/6/2000,treatment of pulmonary arterial hypertension,Designated/Approved,,,Treatment of pulmonary arterial hypertension.,11/20/2001,11/20/2008,,Actelion Pharmaceuticals Ltd,1840 Gateway Drive,Suite 300,Cherry Hill,New Jersey,' 08002 ' ,United States,134200,pulmonary arterial hypertension,"""gard:0007501""",
23,bosentan,Tracleer,10/6/2000,treatment of pulmonary arterial hypertension,Designated/Approved,,,"Treatment of pulmonary arterial hypertension (PAH) (WHO Group 1) in pediatric patients aged 3 years and older with idiopathic or congenital PAH to improve pulmonary vascular resistance (PVR), which is expected to result in an improvement in exercise ability",9/5/2017,9/5/2024,"Treatment of pulmonary arterial hypertension (PAH) (WHO Group 1) in pediatric patients aged 3 years and older with idiopathic or congenital PAH to improve pulmonary vascular resistance (PVR), which is expected to result in an improvement in exercise ability",Actelion Pharmaceuticals Ltd,1840 Gateway Drive,Suite 300,Cherry Hill,New Jersey,' 08002 ' ,United States,134200,pulmonary arterial hypertension,"""gard:0007501""",
24,CDK inhibitor (CDKI) of CDK2/4/6,,3/3/2021,"treatment of patients with malignant gliomas (including glioblastoma, astrocytoma, and oligodendroglioma)",Designated,,Not FDA Approved for Orphan Indication,,,,,"Nuvation Bio, Inc.","1500 Broadway, Suite 1401",,New York,New York,' 10036 ' ,United States,805820,astrocytoma,"""gard:0012928""",
25,CRISPR/Cas13X RNA base-editing gene therapy drug targeting human OTOF Q829X mutation,,2/29/2024,treatment of otof q829x mutation-induced hearing loss,Designated,,Not FDA Approved for Orphan Indication,,,,,"Cholgene Therapeutics, Inc.","651N. Broad Street, Suite 206",,Middletown,Delaware,' 19709 ' ,United States,990823,,,
26,DNA plasmid encoding the human transferrin gene,,9/25/2020,treatment of retinitis pigmentosa,Designated,,Not FDA Approved for Orphan Indication,,,,,"Eyevensys, Inc.",185 Alewife Brook Parkway,Suite 210,Cambridge,Massachusetts,' 02138 ' ,United States,766920,retinitis pigmentosa,"""gard:0005694""",
27,ezurpimtrostat,,1/18/2023,treatment of hepatocellular carcinoma (hcc),Designated,,Not FDA Approved for Orphan Indication,,,,,Genoscience Pharma,"10, rue d’Iéna",,Marseille,Provence,' 13006 ' ,France,922922,hepatocellular carcinoma,"""gard:0016773""",
28,Fc-fusion protein comprised of an anti-CXCR4 i-body tethered at its C-terminus to constant domains 2 and 3 of the Fc region of a mutated human IgG1,,2/22/2021,treatment of idiopathic pulmonary fibrosis,Designated,,Not FDA Approved for Orphan Indication,,,,,AdAlta Limited,15/2 Park Drive,,Bundoora,VIC,' 3083 ' ,Australia,800420,idiopathic pulmonary fibrosis,"""gard:0008609""",
29,Gallium-68 DOTANOC,,4/1/2020,diagnostic for the management of neuroblastoma,Designated,,Not FDA Approved for Orphan Indication,,,,,"Advanced Imaging Projects, LLC",3651 FAU Blvd.,,Boca Raton,Florida,' 33467 ' ,United States,734120,neuroblastoma,"""gard:0007185""",
