GardID,DataSource,SourceID,ClassificationLevel,DisorderType,Name,Synonym
GARD:0000001,Orphanet,ORPHA:53693,Disorder,Disease,GRACILE syndrome,Fellman disease|Growth restriction-aminoaciduria-cholestasis-iron overload-lactic acidosis-early death syndrome
GARD:0000003,Orphanet,ORPHA:920,Disorder,Malformation syndrome,Ablepharon macrostomia syndrome,
GARD:0000005,Orphanet,ORPHA:14,Disorder,Disease,Abetalipoproteinemia,Bassen-Kornzweig disease|Homozygous familial hypobetalipoproteinemia
GARD:0000006,Orphanet,ORPHA:93437,Group of disorders,Clinical group,Acromesomelic dysplasia,
GARD:0000007,Orphanet,ORPHA:969,Disorder,Malformation syndrome,Acromicric dysplasia,
GARD:0000011,Orphanet,ORPHA:2131,Disorder,Disease,Alternating hemiplegia of childhood,AHC
GARD:0000012,Orphanet,ORPHA:31740,Group of disorders,Clinical group,Hypersensitivity pneumonitis,Extrinsic allergic alveolitis
GARD:0000013,Orphanet,ORPHA:1065,Disorder,Malformation syndrome,Aniridia-cerebellar ataxia-intellectual disability syndrome,Gillespie syndrome
GARD:0000016,Orphanet,ORPHA:1125,Disorder,Disease,"Ocular motor apraxia, Cogan type","Oculomotor apraxia, Cogan type"
GARD:0000017,Orphanet,ORPHA:2356,Disorder,Morphological anomaly,Arachnoid cyst,
GARD:0000019,Orphanet,ORPHA:1675,Disorder,Disease,Dihydropyrimidine dehydrogenase deficiency,Familial pyrimidinemia
GARD:0000022,Orphanet,ORPHA:123,Disorder,Disease,Björnstad syndrome,Deafness-pili torti-hypogonadism syndrome|Hearing loss-pili torti-hypogonadism syndrome
GARD:0000023,Orphanet,ORPHA:126,Disorder,Malformation syndrome,Blepharophimosis-ptosis-epicanthus inversus syndrome,BPES
GARD:0000026,Orphanet,ORPHA:195,Disorder,Malformation syndrome,Cat-eye syndrome,CES
GARD:0000027,Orphanet,ORPHA:50839,Disorder,Disease,Cat-scratch disease,Bartonellosis due to Bartonella henselae infection
GARD:0000028,Orphanet,ORPHA:1388,Disorder,Malformation syndrome,Catel-Manzke syndrome,"Hyperphalangy-clinodactyly of index finger with Pierre Robin syndrome|Index finger anomaly-Pierre Robin syndrome|Micrognathia digital syndrome|Palatodigital syndrome, Catel-Manzke type|Pierre Robin sequence-hyperphalangy-clinodactyly syndrome|Pierre Robin syndrome-hyperphalangy-clinodactyly syndrome"
GARD:0000029,Orphanet,ORPHA:138,Disorder,Malformation syndrome,CHARGE syndrome,CHARGE association|Coloboma-heart defects-atresia choanae-retardation of growth and development-genitourinary problems-ear abnormalities syndrome|Hall-Hittner syndrome
GARD:0000031,Orphanet,ORPHA:35686,Disorder,Disease,Serpiginous choroiditis,Geographic helicoid peripapillary choroidopathy
GARD:0000035,Orphanet,ORPHA:3307,Disorder,Malformation syndrome,Tetrasomy 18p,Isochromosome 18p
GARD:0000037,Orphanet,ORPHA:261875,Group of disorders,Category,Partial deletion of the short arm of chromosome 3,Partial deletion of chromosome 3p|Partial monosomy of chromosome 3p|Partial monosomy of the short arm of chromosome 3
GARD:0000039,Orphanet,ORPHA:3466,Disorder,Disease,WT limb-blood syndrome,
GARD:0000042,Orphanet,ORPHA:3310,Disorder,Malformation syndrome,Tetrasomy 9p,Isochromosome 9p
GARD:0000043,Orphanet,ORPHA:99776,Disorder,Malformation syndrome,Mosaic trisomy 9,Mosaic trisomy chromosome 9|Trisomy 9 mosaicism
GARD:0000044,Orphanet,ORPHA:2342,Disorder,Disease,Haim-Munk syndrome,Keratosis palmoplantaris-periodontopathia-onychogryposis syndrome|Palmoplantar hyperkeratosis-periodontopathia-onychogryposis syndrome|Palmoplantar keratoderma-periodontopathia-onychogryposis syndrome
GARD:0000045,Orphanet,ORPHA:291,Disorder,Disease,Congenital varicella syndrome,Antenatal varicella virus infection|Mother-to-child transmission of varicella syndrome
GARD:0000047,Orphanet,ORPHA:79234,Subtype of disorder,Clinical subtype,Crigler-Najjar syndrome type 1,Bilirubin uridinediphosphate glucuronosyltransferase deficiency type 1|Bilirubin-UGT deficiency type 1
GARD:0000048,Orphanet,ORPHA:254905,Disorder,Disease,Isolated cytochrome C oxidase deficiency,Isolated COX deficiency|Isolated mitochondrial respiratory chain complex IV deficiency
GARD:0000049,Orphanet,ORPHA:2962,Disorder,Disease,De Barsy syndrome,"Cutis laxa-corneal clouding-intellectual disability syndrome|Progeroid syndrome, De Barsy type"
GARD:0000054,Orphanet,ORPHA:1203,Disorder,Morphological anomaly,Duodenal atresia,
GARD:0000059,Orphanet,ORPHA:1955,Disorder,Disease,Spinocerebellar ataxia type 34,Erythrokeratodermia with ataxia|SCA34|Spinocerebellar ataxia and erythrokeratodermia
GARD:0000060,Orphanet,ORPHA:64734,Disorder,Disease,Iridocorneal endothelial syndrome,ICE syndrome
GARD:0000061,Orphanet,ORPHA:1988,Disorder,Malformation syndrome,Femoral-facial syndrome,FFS|FHUFS|Femoral hypoplasia-unusual facies syndrome
GARD:0000062,Orphanet,ORPHA:3255,Disorder,Malformation syndrome,Filippi syndrome,Type 1 syndactyly-microcephaly-intellectual disability syndrome
GARD:0000064,Orphanet,ORPHA:3219,Disorder,Malformation syndrome,Fountain syndrome,Deafness-skeletal dysplasia-coarse face with full lips syndrome|Deafness-skeletal dysplasia-lip granuloma syndrome|Hearing loss-skeletal dysplasia-coarse face with full lips syndrome|Hearing loss-skeletal dysplasia-lip granuloma syndrome
GARD:0000065,Orphanet,ORPHA:2065,Disorder,Malformation syndrome,Galloway-Mowat syndrome,Galloway syndrome|Microcephaly-hiatus hernia-nephrotic syndrome|Nephrosis-neuronal dysmigration syndrome
GARD:0000066,Orphanet,ORPHA:2095,Disorder,Malformation syndrome,Gorlin-Chaudhry-Moss syndrome,"Craniofacial dysostosis-genital, dental, cardiac anomalies syndrome|Cranofacial dysostosis-hypertrichosis-hypoplasia of labia majora syndrome|Dental and eye anomalies-patent ductus arteriosus-normal intelligence syndrome|GCM syndrome"
GARD:0000068,Orphanet,ORPHA:989,Disorder,Malformation syndrome,Hypoglossia-hypodactyly syndrome,Aglossia-adactylia syndrome|Hanhart syndrome|Jussieu syndrome
GARD:0000069,Orphanet,ORPHA:319247,Disorder,Disease,Hantavirus pulmonary syndrome,
GARD:0000070,Orphanet,ORPHA:2330,Disorder,Disease,Kasabach-Merritt syndrome,Hemangioma-thrombocytopenia syndrome
GARD:0000073,Orphanet,ORPHA:101088,Subtype of disorder,Clinical subtype,X-linked hyper-IgM syndrome,HIGM1|Hyper-IgM syndrome due to CD40 ligand deficiency|Hyper-IgM syndrome due to CD40L deficiency|Hyper-IgM syndrome type 1|XHIGM
GARD:0000076,Orphanet,ORPHA:238468,Disorder,Disease,Hypohidrotic ectodermal dysplasia,Anhidrotic ectodermal dysplasia|HED
GARD:0000079,Orphanet,ORPHA:33067,Disorder,Disease,"Metaphyseal chondrodysplasia, Jansen type",
GARD:0000080,Orphanet,ORPHA:2315,Disorder,Malformation syndrome,Johanson-Blizzard syndrome,JBS
GARD:0000081,Orphanet+OMIM,OMIM:309590,Subtype of disorder,Disease subtype,"Intellectual developmental disorder, x-linked, syndromic, turner type","mental retardation and macrocephaly syndrome|mental retardation, x-linked, with growth retardation, deafness, and microgenitalism|juberg-marsidi syndrome|mental retardation, x-linked, syndromic, brooks-wisniewski-brown type|Mental retardation, x-linked, syndromic, turner type|brooks-wisniewski-brown syndrome"
