d.gard_id,d.name,d.synonyms
GARD:0000001,GRACILE syndrome,"[FLNMS,Finnish lactic acidosis with hepatic hemosiderosis,Fellman syndrome,Growth Retardation, Aminoaciduria, Cholestasis, Iron overload, Lactic acidosis and Early death,Finnish lethal neonatal metabolic syndrome,Fellman disease,Growth delay-aminoaciduria-cholestasis-iron overload-lactic acidosis-early death syndrome,Growth restriction-aminoaciduria-cholestasis-iron overload-lactic acidosis-early death syndrome]"
GARD:0000003,Ablepharon macrostomia syndrome,"[AMS,Congenital ablepharon, absent eyelashes/eyebrows, macrostomia, auricular, nasal, genital and other systemic anomalies]"
GARD:0000004,Acanthocheilonemiasis,"[Dipetalonemiasis,Dipetalonema infections,Acanthocheilonema perstans infection,Mansonella perstans]"
GARD:0000005,Abetalipoproteinemia,"[Bassen Kornzweig syndrome,Microsomal triglyceride transfer protein deficiency disease,Microsomal triglyceride transfer protein deficiency,ABL,Abetalipoproteinemia neuropathy,Apolipoprotein B deficiency,Betalipoprotein deficiency disease,Congenital betalipoprotein deficiency syndrome,MTP deficiency,Bassen-Kornzweig disease,Homozygous familial hypobetalipoproteinemia]"
GARD:0000006,Acromesomelic dysplasia,[Acromesomelic dwarfism]
GARD:0000007,Acromicric dysplasia,[Acromicric skeletal dysplasia]
GARD:0000008,Agnosia,"[Primary visual agnosia,Monomodal visual amnesia,Visual amnesia]"
GARD:0000011,Alternating hemiplegia of childhood,"[Alternating hemiplegia syndrome,AHC,Alternating hemiplegia]"
GARD:0000012,Hypersensitivity pneumonitis,"[Allergic interstitial pneumonitis,Alveolitis, extrinsic allergic,Hypersensitivity pneumonitis,Allergic pneumonitis,Extrinsic allergic pneumonia hypersensitivity Pneumonitis,HP]"
GARD:0000013,Gillespie syndrome,"[Aniridia, cerebellar ataxia and mental deficiency]"
GARD:0000016,Oculomotor apraxia Cogan type,"[Congenital oculomotor apraxia,Cogan's syndrome type 2,Saccade initiation failure congenital,COMA]"
GARD:0000017,Arachnoid cysts,"[Arachnoid cysts, intracranial,Intracranial arachnoid cysts]"
GARD:0000022,Bjornstad syndrome,"[BJS,Pili torti and nerve deafness,PTND,Pili torti-sensorineural hearing loss,Deafness and pili torti, Bjornstad type]"
GARD:0000026,Cat eye syndrome,"[Schmid-Fraccaro syndrome,CES,Chromosome 22 partial tetrasomy,INV DUP(22)(Q11)]"
GARD:0000027,Cat scratch disease,"[Bartonellosis due to Bartonella henselae infection,Cat scratch fever]"
GARD:0000028,Catel Manzke syndrome,"[Hyperphalangy-clinodactyly of index finger with Pierre Robin syndrome,Pierre Robin syndrome with hyperphalangy and clinodactyly,Palatodigital syndrome Catel-Manzke type,Index finger anomaly with Pierre Robin syndrome]"
GARD:0000029,CHARGE syndrome,"[Coloboma, heart anomaly, choanal atresia, retardation, genital and ear anomalies,CHARGE association,Hall-Hittner syndrome]"
GARD:0000030,Cholecystitis,"[Gallstone cholecystitis,Acalculous cholecystitis]"
GARD:0000031,Serpiginous choroiditis,"[Geographic choroiditis,Geographic helicoid peripapillary choroidopathy (GHPC),Geographic serpiginous choroiditis,Peripapillary choriopathy,Serpiginous choroidopathy]"
GARD:0000035,Chromosome 18p tetrasomy,"[Tetrasomy 18p,Tetrasomy chromosome 18p,Isochromosome 18p]"
GARD:0000037,Partial deletion of the short arm of chromosome 3,"[Partial deletion 3p,3p partial deletion,Partial monosomy 3p,Partial deletion of chromosome 3p,Partial monosomy of chromosome 3p,Partial monosomy of the short arm of chromosome 3]"
GARD:0000039,WT limb blood syndrome,"[WT syndrome,Radial-ulnar hypoplasia with bone marrow failure and/or leukemia]"
GARD:0000042,Tetrasomy 9p,"[Chromosome 9p tetrasomy,Tetrasomy of short arm of chromosome 9,Mosaic tetrasomy 9p]"
GARD:0000043,Mosaic trisomy 9,"[Mosaic trisomy chromosome 9,Trisomy 9 mosaicism]"
GARD:0000044,Haim-Munk syndrome,"[HMS,Keratosis palmoplantaris with periodontopathia and onychogryposis,Cochin Jewish disorder]"
GARD:0000045,Congenital varicella syndrome,"[Fetal effects of Chickenpox,Fetal varicella infection,Fetal varicella zoster syndrome,Fetal effects of varicella zoster virus,Varicella Embryopathy,Varicella virus antenatal infection]"
GARD:0000046,Corticobasal degeneration,"[Cortical-Basal Ganglionic degeneration,Cortico-Basal Ganglionic Degeneration (CBGD),CBGD,Corticobasal syndrome]"
GARD:0000047,"Crigler Najjar syndrome, type 1","[Crigler-Najjar syndrome, type I]"
GARD:0000048,Cytochrome c oxidase deficiency,"[Complex 4 mitochondrial respiratory chain deficiency,Deficiency of mitochondrial respiratory chain complex4,COX deficiency,Complex IV deficiency,Mitochondrial complex IV deficiency]"
GARD:0000049,De Barsy syndrome,"[Corneal clouding, cutis laxa and intellectual disability,Progeroid syndrome of De Barsy,Cutis laxa growth deficiency syndrome,Progeroid syndrome, De Barsy type,Cutis laxa-corneal clouding-intellectual disability syndrome]"
GARD:0000054,Duodenal atresia,[Duodenal stenosis]
GARD:0000059,Spinocerebellar ataxia 34,"[SCA34,Giroux Barbeau Syndrome,Erythrokeratodermia - ataxia,Erythrokeratodermia with ataxia]"
GARD:0000060,Iridocorneal endothelial syndrome,[ICE syndrome]
GARD:0000061,Femoral facial syndrome,"[Femoral dysgenesis, bilateral,FFS,Femoral hypoplasia unusual facies syndrome,FHUFS]"
GARD:0000062,Filippi syndrome,"[Syndactyly type I with microcephaly and mental retardation,Unusual facial appearance, microcephaly, growth and mental retardation and syndactyly,Type 1 syndactyly-microcephaly-intellectual disability syndrome]"
GARD:0000064,Fountain syndrome,"[Intellectual disability, deafness, skeletal abnormalities, coarse face with full lips,Deafness, skeletal dysplasia, lip granuloma]"
GARD:0000065,Galloway-Mowat syndrome,"[Galloway Mowat syndrome,Galloway syndrome,Microcephaly nephrosis syndrome,Nephrosis neuronal dysmigration syndrome,Hiatal Hernia-Microcephaly-Nephrosis, Galloway Type,Microcephaly, hiatal hernia, and nephrotic syndrome]"
GARD:0000066,Gorlin Chaudhry Moss syndrome,"[Craniofacial dysostosis, patent ductus arteriosus, hypertrichosis, hypoplasia of labia majora, dental and eye anomalies,GCM syndrome,Gorlin-Chaudhry-Moss syndrome]"
