Display Name,UNII,Status,Record Protection Status,Expr1004,Generic Name,Date Designated,Orphan Designation,Orphan Designation Status,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,Exclusivity Protected Indication * (Shown for approvals from Jan,Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
STP-705,ZT3VR2T6GY,Designated,Public record,4358,Cotsiranib,6/15/2017,Treatment of primary sclerosing cholangitis,Designated,Not FDA Approved for Orphan Indication,,,,,"Sirnaomics, Inc.",401 Professional Drive,Suite 280,Gaithersburg,Maryland,20879,United States,580717
STP-705,ZT3VR2T6GY,Designated,Public record,4621,cotsiranib,11/29/2017,Treatment of cholangiocarcinoma (CCA),Designated,Not FDA Approved for Orphan Indication,,,,,"Sirnaomics, Inc.",401 Professional Drive,Suite 280,Gaithersburg,Maryland,20879,United States,614817
"""2-OXYGEN, 3-OXYGEN DESULFATED HEPARIN""",,Designated,Public record,4639,"2-O, 3-O, desulfated heparin",12/21/2017,Treatment of acute myeloid leukemia,Designated,Not FDA Approved for Orphan Indication,,,,,"Chimerix, Inc.",2505 Meridian Park,Suite 100,Durham,North Carolina,27713,United States,477815
NPT520-34,L05II461IJ,Designated,Public record,5197,"4-(4-((4-chloro-3-(trifluoromethyl)phenyl)sulfonyl)phenyl)-2,4-dihydro-3H-1,2,4-triazole-3-thione",8/8/2019,Treatment of amyotrophic lateral sclerosis,Designated,Not FDA Approved for Orphan Indication,,,,,"Neuropore Therapies, Inc.","10835 Road to the Cure, Suite 230",,San Diego,California,92121,United States,704119
CTCE-9908 HEXA-ACETATE,AQH30RK500,Designated,Public record,5244,"L-Lysinamide,N2,N6-bis(L-lysylglycyl-L-valyl-L-seryl-L-leucyl-L-seryl-L-tyrosyl-L-arginyl)-hexa-acetate salt",9/18/2019,Treatment of hepatocellular carcinoma,Designated,Not FDA Approved for Orphan Indication,,,,,TCM Biotech International Corp.,"24F-8, No. 97","Sec. 1, Xintai 5th Rd., Xizhi Dist.",New Taipei City,Taiwan,,Taiwan,703719
Linafexor,US5Q3KD5RD,Designated,Public record,6068,"3-(4-((3-endo)-3-((5-cyclopropyl-3-(2,6-dichlorophenyl)isoxazol-4- yl)methoxy)-8-azabicyclo[3.2.1]octan-8-yl)-2-fluorophenyl)-1,2,4-oxadiazol-5(4H)-one",9/13/2021,Treatment of Primary Sclerosing Cholangitis,Designated,Not FDA Approved for Orphan Indication,,,,,"Cascade Pharmaceuticals, Inc","Building No. 6, Lane 908, Ziping Road,",Pudong New District,Shanghai,,201321,China,836821
HANFERON,G934HY6WHU,Designated,Public record,2667,Hanferon,3/9/2012,Treatment of Behcet's disease,Designated,Not FDA Approved for Orphan Indication,,,,,"HanAll BioPharma Co., Ltd.",Jamsil I-Space Building 6F,138 420,Seoul,,,South Korea,362911
AEM-28,V9526P2UXZ,Designated,Public record,2824,apolipoprotein E mimetic peptide,12/3/2012,Treatment of homozygous familial hypercholesterolemia,Designated,Not FDA Approved for Orphan Indication,,,,,"LipimetiX Development, LLC",5 Commonwealth Road,Suite 2A,Natick,Massachusetts,1760,United States,381712
INN-108 DISODIUM,QS757J8N0F,Designated,Public record,4506,5-(4-carboxymethyl-phenylazo)-2-hydroxybenzoic acid disodium salt,8/31/2017,Treatment of pediatric ulcerative colitis (UC),Designated,Not FDA Approved for Orphan Indication,,,,,"9 Meters Biopharma, Inc.",8480 Honeycutt Road,Suite 120,Raleigh,North Carolina,27615,United States,599917
JTT-251 MONOHYDRATE,0AQV15PQ6M,Designated,Public record,4669,2-{4-[(9R)-9-Hydroxy-2-(3-hydroxy-3-methylbutyloxy)-9-(trifluoromethyl)-9H-fluoren-4-yl]-1H-pyrazol-1-yl}-2-methylpropanamide monohydrate,1/23/2018,Treatment of pulmonary arterial hypertension,Designated,Not FDA Approved for Orphan Indication,,,,,Akros Pharma Inc.,302 Carnegie Center,Suite 300,Princeton,New Jersey,8540,United States,620017
