n.org_name,Country,zip_code,state,County,city
"""UNIVERSITY OF MINNESOTA TWIN CITIES""",United States,55455,Minnesota,Ramsey County,Falcon Heights
"""MEDICAL RESEARCH COUNCIL""",Gambia,Kanifing,Serrekunda,Bakau New Town and Fajara,Bakau
"""ADVANCED BIOSCIENCE LABORATORIES, INC.""",,,,,
"""INVERESK RESEARCH INTERNATIONAL""",,,,,
"""PUBLIC HEALTH INSTITUTE""",Shqipëria,1007,Shqipëria Qendrore,Qarku i Tiranës,Bashkia Tiranë
"""UNIVERSITY OF PUERTO RICO RIO PIEDRAS""",United States,00923,Puerto Rico,San Juan,Universidad
"""MICHIGAN STATE UNIVERSITY""",United States,48824,Michigan,Ingham County,East Lansing
"""YESHIVA UNIVERSITY""",United States,10033,New York,City of New York,New York County
"""U.S. ARMED FORCES INSTITUTE OF PATHOLOGY""",,,,,
"""RUSH UNIVERSITY MEDICAL CENTER""",United States,60612,Illinois,Cook County,West Chicago Township
"""NEW YORK UNIVERSITY""",United States,10003,New York,City of New York,New York County
"""JOHNS HOPKINS UNIVERSITY""",United States,21218,Maryland,Baltimore,Charles Village
"""UNIVERSITY OF CONNECTICUT SCH OF MED/DNT""",,,,,
"""UNIVERSITY OF UTAH""",United States,84112,Utah,Salt Lake County,Salt Lake City
"""STATE UNIVERSITY NEW YORK STONY BROOK""",United States,11794,New York,Suffolk County,Town of Brookhaven
"""HARVARD UNIVERSITY (MEDICAL SCHOOL)""",,,,,
"""DUKE UNIVERSITY""",United States,27708,North Carolina,Durham County,Durham
"""UNIVERSITY OF CALIFORNIA SAN DIEGO""",United States,92093,California,San Diego,Gilman Drive
"""CORNELL UNIVERSITY ITHACA""",United States,14850,New York,Tompkins County,Town of Dryden
"""COLORADO STATE UNIVERSITY-FORT COLLINS""",United States,80524,Colorado,Larimer County,Fort Collins
"""BAYLOR COLLEGE OF MEDICINE""",United States,77030,Texas,Harris County,Houston
"""UNIVERSITY OF WASHINGTON""",United States,98195,Washington,King County,Seattle
"""NORTHWESTERN UNIVERSITY""",United States,60208,Illinois,Cook County,Evanston Township
"""SLOAN-KETTERING INSTITUTE FOR CANCER RES""",,,,,
"""UNIVERSITY OF CALIFORNIA SAN FRANCISCO""",United States,94122,California,San Francisco,Inner Sunset
"""ELEANOR ROOSEVELT INST FOR CANCER RES""",,,,,
"""U.S. NATIONAL INSTITUTES OF HEALTH""",,,,,
"""MASSACHUSETTS EYE AND EAR INFIRMARY""",United States,02114,Massachusetts,Suffolk County,Boston
"""UNIVERSITY OF FLORIDA""",United States,32611,Florida,Alachua County,Gainesville
"""UNIVERSITY OF NORTH CAROLINA CHAPEL HILL""",United States,27599,North Carolina,Orange County,Chapel Hill
"""MASSACHUSETTS GENERAL HOSPITAL""",United States,02114,Massachusetts,Suffolk County,Boston
"""YALE UNIVERSITY""",United States,06516,South Central Connecticut Planning Region,West Haven,Yale University
"""INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS""",,,,,
"""UNIVERSITY OF PENNSYLVANIA""",United States,19104,Pennsylvania,Philadelphia County,Philadelphia
"""UPSTATE MEDICAL UNIVERSITY""",United States,13210,New York,Onondaga County,City of Syracuse
"""UNIVERSITY OF COLORADO DENVER""",United States,80204,Colorado,Denver,Auraria
"""MC LEAN HOSPITAL (BELMONT, MA)""",,,,,
"""COLUMBIA UNIV NEW YORK MORNINGSIDE""",United States,10027,New York,City of New York,New York County
"""NATIONAL JEWISH HEALTH""",United States,80206,Colorado,Denver,Jackson Street
"""STANFORD UNIVERSITY""",United States,94305,California,Santa Clara County,Stanford
"""UNIVERSITY OF MIAMI SCHOOL OF MEDICINE""",,,,,
"""MEHARRY MEDICAL COLLEGE""",United States,37208,Tennessee,Middle Tennessee,Davidson County
"""TUFTS UNIVERSITY BOSTON""",United States,02111,Massachusetts,Suffolk County,Boston
"""UNIVERSITY OF OKLAHOMA NORMAN""",United States,73019,Oklahoma,Cleveland County,Norman
"""THOMAS JEFFERSON UNIVERSITY""",United States,19103,Pennsylvania,Philadelphia County,Philadelphia
"""UNIVERSITY OF ALABAMA IN HUNTSVILLE""",United States,35899,Alabama,Madison County,Huntsville
"""MICHAEL REESE HOSP &MED CTR (CHICAGO)""",,,,,
"""NORTHEASTERN UNIVERSITY""",United States,02115,Massachusetts,Suffolk County,Boston
"""MOUNT SINAI SCHOOL OF MEDICINE OF CUNY""",,,,,
"""TEXAS A&M UNIVERSITY HEALTH SCIENCE CTR""",United States,77842,Texas,Brazos County,Bryan
"""JEWISH HOSPITAL OF SAINT LOUIS""",United States,63110,Missouri,Saint Louis,Central West End
"""UNIVERSITY OF CALIFORNIA DAVIS""",United States,95616,California,Solano County,Davis
"""WASHINGTON UNIVERSITY""",,,,,
"""UNIVERSITY OF SOUTH ALABAMA""",United States,36688,Alabama,Mobile County,Mobile
"""CHILDREN'S HOSPITAL BOSTON""",United States,02115,Massachusetts,Suffolk County,Boston
"""UNIVERSITY OF IOWA""",United States,52246,Iowa,Johnson County,Iowa City
"""SAINT LOUIS UNIVERSITY""",United States,63103,Missouri,Saint Louis,Covenant Blu Grand Center
"""UNIVERSITY OF MISSOURI-COLUMBIA""",United States,65211,Missouri,Boone County,Columbia Township
"""BETH ISRAEL DEACONESS MEDICAL CENTER""",United States,02215,Massachusetts,Suffolk County,Boston
"""UNIVERSITY OF MICHIGAN AT ANN ARBOR""",,,,,
"""UNIVERSITY OF VERMONT &ST AGRIC COLLEGE""",,,,,
"""UNIVERSITY OF ROCHESTER""",United States,14608,New York,Monroe County,City of Rochester
"""WEILL MEDICAL COLLEGE OF CORNELL UNIV""",United States,10021,New York,City of New York,New York County
"""TULANE UNIVERSITY OF LOUISIANA""",United States,70112,Louisiana,Orleans Parish,New Orleans
"""UNIVERSITY OF CINCINNATI""",United States,45219,Ohio,Hamilton County,Cincinnati
"""UNIVERSITY OF CALIFORNIA LOS ANGELES""",United States,90095,California,Los Angeles County,Los Angeles
