"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Christopher Creek","Christopher Creek","AZ","Arizona","04007","Gila","34.3206","-111.0071","118","14.5","shape","FALSE","FALSE","America/Phoenix","3","85541","1840022862"
"Owl Ranch","Owl Ranch","TX","Texas","48249","Jim Wells","27.8927","-98.0934","118","61.4","shape","FALSE","FALSE","America/Chicago","3","78332","1840037143"
"Goodnews Bay","Goodnews Bay","AK","Alaska","02050","Bethel","59.1271","-161.5753","118","13.7","shape","FALSE","TRUE","America/Anchorage","3","99589","1840023357"
"Lamy","Lamy","NM","New Mexico","35049","Santa Fe","35.4854","-105.8863","118","17.6","shape","FALSE","FALSE","America/Denver","3","87540","1840017776"
"Bessemer Bend","Bessemer Bend","WY","Wyoming","56025","Natrona","42.7561","-106.5176","118","18.1","shape","FALSE","FALSE","America/Denver","3","82604","1840038424"
"Oxbow","Oxbow","NY","New York","36045","Jefferson","44.2893","-75.6262","118","112.9","shape","FALSE","FALSE","America/New_York","3","13608 13691 13671","1840023983"
"Belden","Belden","NE","Nebraska","31027","Cedar","42.4116","-97.2077","118","112.0","shape","FALSE","TRUE","America/Chicago","3","68717","1840011069"
"Montezuma","Montezuma","CO","Colorado","08117","Summit","39.5814","-105.8678","118","88.0","shape","FALSE","TRUE","America/Denver","3","80435","1840022435"
"Rhineland","Rhineland","MO","Missouri","29139","Montgomery","38.7205","-91.5175","118","150.1","shape","FALSE","TRUE","America/Chicago","3","65069","1840010698"
"Walnut Hill","Walnut Hill","IL","Illinois","17121","Marion","38.4777","-89.0447","118","121.2","shape","FALSE","TRUE","America/Chicago","3","62893","1840012850"
"Chest Springs","Chest Springs","PA","Pennsylvania","42021","Cambria","40.5781","-78.6107","118","131.2","shape","FALSE","TRUE","America/New_York","3","16624","1840001104"
"Lincoln","Lincoln","IA","Iowa","19171","Tama","42.2627","-92.6923","118","81.2","shape","FALSE","TRUE","America/Chicago","3","50635 50652","1840009149"
"Guys Mills","Guys Mills","PA","Pennsylvania","42039","Crawford","41.6308","-79.9760","118","128.4","shape","FALSE","FALSE","America/New_York","3","16327","1840004808"
"Blandville","Blandville","KY","Kentucky","21007","Ballard","36.9441","-88.9646","118","88.2","shape","FALSE","TRUE","America/Chicago","3","42087","1840013261"
"Appleton","Appleton","AR","Arkansas","05115","Pope","35.4185","-92.8724","118","8.9","shape","FALSE","FALSE","America/Chicago","3","72823 72843","1840003885"
"Huntington Center","Huntington Center","VT","Vermont","50007","Chittenden","44.2906","-72.9672","118","45.8","shape","FALSE","FALSE","America/New_York","3","05462","1840114856"
"Fort Seneca","Fort Seneca","OH","Ohio","39147","Seneca","41.2044","-83.1679","118","72.7","shape","FALSE","FALSE","America/New_York","3","44883","1840026350"
"New Centerville","New Centerville","PA","Pennsylvania","42111","Somerset","39.9422","-79.1916","118","72.4","shape","FALSE","TRUE","America/New_York","3","15557","1840003742"
"Falcon Mesa","Falcon Mesa","TX","Texas","48505","Zapata","26.8706","-99.2907","118","30.0","shape","FALSE","FALSE","America/Chicago","3","78076","1840018299"
"Wainwright","Wainwright","OK","Oklahoma","40101","Muskogee","35.6134","-95.5660","118","128.2","shape","FALSE","TRUE","America/Chicago","3","74468","1840022723"
"Matoaka","Matoaka","WV","West Virginia","54055","Mercer","37.4182","-81.2417","118","287.1","shape","FALSE","TRUE","America/New_York","3","24736","1840006405"
"Birmingham","Birmingham","OH","Ohio","39043","Erie","41.3302","-82.3617","118","40.6","shape","FALSE","FALSE","America/New_York","3","44889 44816","1840092199"
"Dutch Neck","Dutch Neck","NJ","New Jersey","34011","Cumberland","39.4017","-75.2787","118","98.8","shape","FALSE","FALSE","America/New_York","3","08302","1840147816"
"Moccasin","Moccasin","AZ","Arizona","04015","Mohave","36.9099","-112.7546","118","59.5","shape","FALSE","FALSE","America/Phoenix","3","86022","1840023183"
"Portland","Portland","CO","Colorado","08091","Ouray","38.0892","-107.6952","118","14.2","shape","FALSE","FALSE","America/Denver","3","81432","1840024696"
"Grand Cane","Grand Cane","LA","Louisiana","22031","De Soto","32.0836","-93.8088","118","40.2","shape","FALSE","TRUE","America/Chicago","3","71032","1840018119"
"Angostura","Angostura","SD","South Dakota","46047","Fall River","43.3192","-103.3860","118","3.6","shape","FALSE","FALSE","America/Denver","3","57747","1840151377"
"Edenborn","Edenborn","PA","Pennsylvania","42051","Fayette","39.8821","-79.8877","118","117.7","shape","FALSE","FALSE","America/New_York","3","15458","1840026569"
"Hard Rock","Hard Rock","AZ","Arizona","04017","Navajo","36.0309","-110.5048","118","7.7","shape","FALSE","TRUE","America/Denver","4","86039","1840075388"
"Kingston","Kingston","IL","Illinois","17001","Adams","39.8198","-91.0274","118","24.5","shape","FALSE","FALSE","America/Chicago","3","62347","1840153073"
"El Monte Mobile Village","El Monte Mobile Village","CA","California","06107","Tulare","36.5471","-119.4251","118","155.4","shape","FALSE","FALSE","America/Los_Angeles","3","93618","1840153158"
"Proctor","Proctor","TX","Texas","48093","Comanche","31.9867","-98.4304","117","111.4","shape","FALSE","FALSE","America/Chicago","3","76446 76468","1840036314"
"Tarrytown","Tarrytown","GA","Georgia","13209","Montgomery","32.3187","-82.5595","117","52.7","shape","FALSE","TRUE","America/New_York","3","30470","1840017011"
"Greensburg","Greensburg","MD","Maryland","24043","Washington","39.6806","-77.5615","117","111.8","shape","FALSE","FALSE","America/New_York","3","21783","1840031481"
"Benton City","Benton City","MO","Missouri","29007","Audrain","39.1346","-91.7648","117","104.8","shape","FALSE","TRUE","America/Chicago","3","65232","1840012698"
"Cantwell","Cantwell","AK","Alaska","02068","Denali","63.3790","-148.8158","117","0.1","shape","FALSE","FALSE","America/Anchorage","3","99729","1840023383"
"Chewalla","Chewalla","TN","Tennessee","47109","McNairy","35.0209","-88.6426","117","33.7","shape","FALSE","FALSE","America/Chicago","3","38367","1840036019"
"Linwood","Linwood","NE","Nebraska","31023","Butler","41.4123","-96.9323","117","99.3","shape","FALSE","TRUE","America/Chicago","3","68036","1840011623"
"Diehlstadt","Diehlstadt","MO","Missouri","29201","Scott","36.9593","-89.4324","117","119.6","shape","FALSE","TRUE","America/Chicago","3","63834","1840013037"
"Kettle River","Kettle River","MN","Minnesota","27017","Carlton","46.4862","-92.8776","117","116.9","shape","FALSE","TRUE","America/Chicago","3","55767 55757","1840007744"
"Gann","Gann","OH","Ohio","39083","Knox","40.4692","-82.1913","117","66.8","shape","FALSE","TRUE","America/New_York","4","43006","1840073812"
"Forest River","Forest River","ND","North Dakota","38099","Walsh","48.2166","-97.4703","117","90.2","shape","FALSE","TRUE","America/Chicago","3","58233","1840000080"
