researcher,C.Cluster_ID,L.Aff_FIPS
"Andrew Colin, @institution: University of Miami",2,12086
"Shatha Yousef, @institution: University of Miami",2,12086
"Anthony Bier, @institution: Nutrasource Pharmaceutical and Nutraceutical Services",2,12086
"Sandy Sufian, @institution: University of Illinois at Chicago",2,53033
"Jane L Burns, @institution: University of Washington and Childrens Hospital and Regional Medical Center",2,53033
"Jennifer Ruddy, @institution: Seattle Childrens Hospital",2,53033
"Christopher Goss, @institution: University of Washington",2,53033
"Ian De Boer, @institution: University of Washington",2,53033
"Scott Donaldson, @institution: University of North Carolina",2,53033
"Kathleen Ramos, @institution: University of Washington",2,53033
"Christopher H Goss, @institution: University of Washington",2,53033
"Donald B. Sanders, @institution: Riley Childrens Hospital, Indianapolis, IN",2,53033
"Margaret Rosenfeld, @institution: Seattle Childrens Hospital, Seattle, WA",2,53033
"Marianne S Muhlebach, @institution: University of NC Chapel Hill, Dept Pediatrics",2,53033
"Samuel M Moskowitz, @institution: Seattle Childrens Hospital",2,53033
"Jane L Burns, @institution: Childrens Hospital and Regional Medical Center",2,53033
"Marianne Muhlebach, @institution: University of North Carolina, Chapel Hill",2,53033
"Mina Pastagia, @institution: Armata Pharmaceuticals, Inc.",2,53033
"Alex H Gifford, @institution: Dartmouth-Hitchcock Medical Center",2,33009
"Mary C. Drinane, @institution: Dartmouth-Hitchcock Medical Center",2,33009
"H. Frank Farmer, @institution: Covance CRU, Inc.",2,12127
"Lisa Guay-Woodford, @institution: Childrens National Health System",2,11001
"Vin Tangpricha, M.D. Ph.D, @institution: Emory University",2,13121
"Arlene A Stecenko, @institution: Emory University",2,13121
"Vin Tangpricha, Md Phd, @institution: Emory University",2,13121
"Arlene Stecenko, @institution: Emory University",2,13121
"Vin Tangpricha, Md/Phd, @institution: Emory University",2,13121
"Lokesh Guglani, @institution: Emory University",2,13121
"Lara Dhingra, @institution: MJHS Institute for Innovation in Palliative Care (MJHS Institute)",2,13121
"Anna M Georgiopoulos, @institution: Massachusetts General Hospital (MGH)",2,13121
"Jessica A Alvarez, @institution: Emory University",2,13121
"Vin Tangpricha, @institution: Emory University",2,13121
"Jenna Gondelman, @institution: Boston Childrens Hospital",2,25025
"Dawn Ericson, @institution: Boston Childrens Hospital",2,25025
"Patricia L Hibberd, @institution: Tufts Medical Center",2,25025
"Thomas Martin, @institution: Boston Childrens Hospital",2,25025
"Thomas Martin, @institution: Boston Childrens Hospital",1,25025
"Kristin Riekert, @institution: Johns Hopkins University",2,25025
"Jonathan Gaffin, Md. Mmsc, @institution: Boston Childrens Hospital",2,25025
"Melissa S Putman, @institution: Boston Childrens Hospital; Massachusetts General Hospital",2,25025
"Melissa S Putman, @institution: Massachusetts General Hospital",2,25025
"Joel Finkelstein, @institution: Massachusetts General Hospital",2,25025
"Ryan C Hunter, @institution: University of Minnesota Medical School (Microbiology)",1,27053
"Alex Gifford, Fccp, @institution: Dartmouth-Hitchcock Medical Center",2,27053
"Nicole Mayer-Hamblett, @institution: University of Washington/Seattle Childrens",2,27053
"Joanne Billings, @institution: University of Minnesota; Pulmonary, Allergy & Critical Care Medicine",2,27053
"Carlos E Milla, @institution: University of Minnesota",2,27053
"Joanne L Billings, @institution: University of Minnesota",2,27053
"Robert R Kempainen, @institution: University of Minnesota",2,27053
"Katie Fenlon, @institution: Childrens Hospitals and Clinics of MN",2,27053
"John Mcnamara, @institution: Childrens Hospitals and Clinics of Minnesota",2,27053
"Ryan Hunter, @institution: University of Minnesota",1,27053
"Amir Moheet, Mbbs, @institution: University of Minnesota",2,27053
"Scott M Blackman, @institution: Johns Hopkins University",2,27053
"Antoinette Moran, @institution: University of Minnesota",2,27053
"Jane Siegel, @institution: University of Texas, Southwestern Medical Center at Dallas",2,48113
"Michael Konstan, @institution: Case Western Reserve University",2,48113
"Nicole Mayer-Hamblett, @institution: Seattle Childrens Hospital",2,48113
"Edith Zemanick, @institution: University of Colorado, Denver",2,48113
"Joseph L Kuti, Pharm.D, @institution: Hartford Hospital",2,48113
"Dana S Hardin, @institution: University of Texas",2,48113
"Raksha Jain, Msci, @institution: UT Southwestern Medical Center",2,48113
"Jerry Nick, @institution: National Jewish Health",2,48113
"Dana S Hardin, @institution: University of Texas, Southwestern Medical Center at Dallas",2,48113
"Robert G Castile, @institution: The Research Institute at Nationwide Childrens Hospital",2,39049
"John G. Mastronarde, @institution: Ohio State University",2,39049
"Scott W. Powers, @institution: Childrens Hospital Medical Center, Cincinnati",2,39049
"George Retsch-Bogart, @institution: University of North Carolina, Chapel Hill",2,39049
"Miriam Treggiari, @institution: University of Washington",2,39049
"Bonnie W. Ramsey, @institution: University of Washington",2,39049
"Benjamin T Kopp, @institution: Nationwide Childrens Hospital",2,39049
"Dana S. Hardin, @institution: OSU, Nationwide Childrens Hospital",2,39049
"Jason B Turowski, @institution: University of Pennsylvania",2,42101
"Denis Hadjiliadis, @institution: University of Pennsylvania",2,42101
"Melpo Christofidou-Solomidou, Ph.D, @institution: University of Pennsylvania",2,42101
"Pamela L Zeitlin, @institution: National Jewish Health",2,42101
"Saba Sheikh, @institution: Childrens Hospital of Philadelphia",2,42101
"Michael M Rickels, @institution: University of Pennsylvania",2,42101
"Michael R. Rickels, @institution: University of Pennsylvania",2,42101
"Michael R Rickels, @institution: University of Pennsylvania",2,42101
"Virginia A. Stallings, @institution: Childrens Hospital of Philadelphia",2,42101
"Walter A. Shaw, @institution: Avanti Polar Lipids, Inc.",2,42101
"Virginia Stallings, @institution: Childrens Hospital of Philadelphia",2,42101
"Maria Mascarenhas, @institution: Childrens Hospital of Philadelphia",2,42101
"Andrea Kelly, Msce, @institution: Childrens Hospital of Philadelphia",2,42101
"Barbara I Kazmierczak, Md Phd, @institution: Yale University",4,09170
"Marie Egan, @institution: Yale University",4,09170
"Jonathan Koff, @institution: Yale University",2,09170
"Benjamin Chan, @institution: Yale University",2,09170
"Bracha Goldsweig, @institution: Yale University",2,09170
"Kristin A Riekert, Ph.D, @institution: The Johns Hopkins Adherence Research Center",2,24510
"Pamela L Zeitlin, @institution: Johns Hopkins University, School of Medicine, Pediatric Pulmonary",2,24510
"Garry Cutting, @institution: Johns Hopkins University",2,24510
"Mark T Jennings, @institution: Johns Hopkins University",2,24510
"Noah Lecthzin, @institution: Johns Hopkins University",2,24510
"James Chmiel, @institution: Case Western University",2,24510
"Michael P Boyle, @institution: Johns Hopkins School of Medicine",2,24510
"Malinda Wu, @institution: Johns Hopkins University",2,24510
"Ronald Goldwater, Mdcm, M.Sc, @institution: PAREXEL Early Phase Clinical Unit Baltimore",2,24510
"Chris Goss, @institution: University of Washington",2,24510
"Risa M Wolf, @institution: Johns Hopkins University",1,24510
"Averell Sherker, @institution: National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)",2,08005
"Ed Doo, @institution: National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)",2,08005
"Michael Narkewicz, @institution: Childrens Hospital Colorado",2,08005
"Scott D Sagel, @institution: University of Colorado, Denver",2,08005
"Jordana E Hoppe, @institution: University of Colorado, Denver",2,08005
"Frank J Accurso, @institution: Childrens Hospital Colorado",2,08005
"Felix Ratjen, Frcpc, @institution: The Hospital for Sick Children",2,08005
"Stephanie Davis, @institution: Indiana University, Indianapolis",2,08005
"Margaret Rosenfeld, @institution: Seattle Childrens Hospital, Seattle",2,08005
"Stephen Stick, @institution: Telethon Kids Institute, Perth",2,08005
"Jordana Hoppe, @institution: Childrens Hospital Colorado",2,08005
"Stacey Martiniano, @institution: University of Colorado, Denver",2,08005
"Christine L Chan, @institution: University of Colorado, Denver",2,08005
"Todd Grazia, @institution: The University of Colorado Denver - Anschutz Medical Campus",2,08005
"Katie Larson Ode, @institution: University of Iowa",2,08005
"Christine Chan, @institution: christinel.chan@childrenscolorado.org",2,08005
"Chris Flask, @institution: Case Western Reserve University",2,39035
"Erica A. Roesch, @institution: University Hospitals Cleveland Medical Center",2,39035
"Erica A Roesch, @institution: University Hospitals Cleveland Medical Center",1,39035
"Michael W. Konstan, @institution: Case University and Rainbow Babies and Childrens Hospital",2,39035
"Elliott C Dasenbrook, Md Mhs, @institution: Case Western Reserve University School of Medicine",2,39035
"James F Chmiel, @institution: University Hospitals Cleveland Medical Center",2,39035
"Michael Knowles, @institution: University of North Carollina at Chapel Hill",2,39035
"Tibor Sipos, @institution: DCI",2,39035
"John P Clancy, @institution: University of Alabama at Birmingham",2,39035
"Michael W Konstan, @institution: University Hospitals Cleveland Medical Center",2,39035
"James F. Chmiel, @institution: Rainbow Babies and Childrens Hospital",1,39035
"James F. Chmiel, @institution: Rainbow Babies and Childrens Hospital",2,39035
"Katherine Kutney, @institution: University Hospitals Cleveland Medical Center",2,39035
"Ronald L. Gibson, @institution: Seattle Childrens Hospital",2,44007
"Wayne J. Morgan, @institution: University of Arizona Health Sciences Center",2,44007
"Margaret Rosenfeld, @institution: Seattle Childrens Hospital",2,44007
"Kevin J Scully, Mb Bch Bao, @institution: Rhode Island Hospital",2,44007
"Melissa S Putman, @institution: Boston Childrens Hospital",2,44007
"Ashley R Deschamp, @institution: University of Nebraska",2,31055
